,global_x,global_y,global_z,delta_s,total_s,has_anchor,depth,k_yy,k_zy,k_yz,k_zz
116997,11698.40018630881,155.63185902067926,-107.80677081400063,0.10000005172904122,11700.027689437777,True,-258.0,55628.29374002431,0.0,0.0,111256.58748004865
117997,11798.400092756992,155.78217902278993,-107.88193075102754,0.10000004421092096,11800.027737319911,True,-271.0,58472.00646705691,0.0,0.0,116944.01293411385
118997,11898.400027269181,155.91249903669814,-107.94709071621764,0.10000003769442169,11900.02777818607,True,-271.0,58507.32316818995,0.0,0.0,117014.64633637991
119997,11998.399985845383,156.022819057398,-108.00225070118904,0.10000003217811833,12000.027813036259,True,-275.0,59401.23788565397,0.0,0.0,118802.47577130795
120997,12098.399964485587,156.11313908040756,-108.04741069872398,0.10000002766007275,12100.02784287048,True,-275.0,59426.07588429819,0.0,0.0,118852.15176859638
121997,12198.399959189801,156.18345910205971,-108.08257070288528,0.10000002414196167,12200.02786868868,True,-275.0,59445.41388658692,0.0,0.0,118890.8277731738
122997,12298.399965958022,156.23377911944408,-108.10773070913274,0.10000002162564887,12300.02789149091,True,-275.0,59459.25189002299,0.0,0.0,118918.50378004603
123997,12398.399980790247,156.26409913087264,-108.12289071432315,0.10000002010951363,12400.02791227712,True,-275.0,59467.5898928777,0.0,0.0,118935.17978575546
124997,12498.399999686473,156.274419134832,-108.12805071624462,0.10000001959519834,12500.027932047344,True,-275.0,59470.42789393454,0.0,0.0,118940.85578786908
125997,12598.400018646704,156.2647391310893,-108.12321071431506,0.10000002008095359,12600.027951801561,True,-273.0,59035.27305001601,0.0,0.0,118070.54610003205
126997,12698.400033670929,156.23505911999382,-108.1083707093494,0.10000002156127705,12700.027972539774,True,-273.0,59027.17040730476,0.0,0.0,118054.34081460955
127997,12798.40004075915,156.1853791026515,-108.08353070309386,0.10000002404704798,12800.027995262008,True,-299.0,64633.951360450126,0.0,0.0,129267.90272090025
128997,12898.400035911363,156.11569908104138,-108.04869069880806,0.10000002752755055,12900.028020968202,True,-299.0,64613.11703788722,0.0,0.0,129226.23407577444
129997,12998.400015127569,156.02601905813208,-108.0038507010322,0.10000003201155681,13000.028050658428,True,-299.0,64586.30271921723,0.0,0.0,129172.60543843452
130997,13098.399974407768,155.91633903729962,-107.94901071547065,0.10000003749570908,13100.028085332611,True,-299.0,64553.50840785145,0.0,0.0,129107.0168157029
131997,13198.399909751959,155.7866590229678,-107.88417074945755,0.10000004397991705,13200.028125990788,True,-299.0,64514.73410817562,0.0,0.0,129029.46821635123
132997,13298.399817160143,155.63697902054992,-107.80933081137482,0.10000005146399778,13300.028173632945,True,-289.0,62313.79320897462,0.0,0.0,124627.58641794928
133997,13398.399692632322,155.46729903569212,-107.72449091100134,0.10000005994819851,13400.028229259038,True,-289.0,62264.755746558745,0.0,0.0,124529.51149311755
134997,13498.399532168498,155.27761907543754,-107.62965105904732,0.10000006943073901,13500.02829386908,True,-304.0,65438.827843900755,0.0,0.0,130877.65568780155
